x,y,yaw
1.561335203319745846e+00,2.202428831403801635e+00,0.000000000000000000e+00
1.565852872896502435e+00,2.211350034817678445e+00,0.000000000000000000e+00
1.571820356283626596e+00,2.219374326630509042e+00,0.000000000000000000e+00
1.580345823012012874e+00,2.214147886317641589e+00,0.000000000000000000e+00
1.584677716836085937e+00,2.223160947639621465e+00,0.000000000000000000e+00
1.590494519684585883e+00,2.231295102731246427e+00,0.000000000000000000e+00
1.598392163551028533e+00,2.237429135797265101e+00,0.000000000000000000e+00
1.603055020502469619e+00,2.246275571146406858e+00,0.000000000000000000e+00
1.608757382435558769e+00,2.254490292642481020e+00,0.000000000000000000e+00
1.616601391659645559e+00,2.260692990257746171e+00,0.000000000000000000e+00
1.625330944687181089e+00,2.265570919836215946e+00,0.000000000000000000e+00
1.633998775914338397e+00,2.270557797166156799e+00,0.000000000000000000e+00
1.642880764241201108e+00,2.275152218450182229e+00,0.000000000000000000e+00
1.651682567633332654e+00,2.279898617269873196e+00,0.000000000000000000e+00
1.660670833423640191e+00,2.284281856917993903e+00,0.000000000000000000e+00
1.669665584199154340e+00,2.288651668832039743e+00,0.000000000000000000e+00
1.678668269544803637e+00,2.293005001254266428e+00,0.000000000000000000e+00
1.687728633111819976e+00,2.297236873718270456e+00,0.000000000000000000e+00
1.696588419901092992e+00,2.301874019610715916e+00,0.000000000000000000e+00
1.705723246357069955e+00,2.305942928211174969e+00,0.000000000000000000e+00
1.714796579894499517e+00,2.310147029679705977e+00,0.000000000000000000e+00
1.723948648781731707e+00,2.314176875781038145e+00,0.000000000000000000e+00
1.733038995868585674e+00,2.318344050980863269e+00,0.000000000000000000e+00
1.742335336603179075e+00,2.322029048457090905e+00,0.000000000000000000e+00
1.751650598235787060e+00,2.325665522985184364e+00,0.000000000000000000e+00
1.761000573612736320e+00,2.329212275835595758e+00,0.000000000000000000e+00
1.770361687905452230e+00,2.332729121460113131e+00,0.000000000000000000e+00
